Id,StageName,CloseDate,vnfp__Implementation_External_ID__c
006W400000NUKP6IAP,Closed Won,2021-06-09,CD4EDB67-25BB-419A-9B44-4B8B6FACA2E3
006W400000NUKPBIA5,Closed Won,2022-03-09,5B97A05C-9ABA-4AEB-A4F0-C7C80C1D8468
006W400000NUKP5IAP,Closed Won,2024-08-28,4B02E605-7502-4CFD-B516-BBD512FAF91C
006W400000NUKP9IAP,Closed Won,2024-10-17,8B7BCDB5-30B2-4F48-A366-B16E0761661E
006W400000NUKPDIA5,Closed Won,2025-03-18,580398BF-F86B-4E26-956D-8E5F39D40782
006W400000NUKP4IAP,Closed Won,2025-10-07,8F17EC6F-2BE1-4198-B064-A497D6135460
006W400000NUKP3IAP,Closed Won,2025-10-14,C8A4972F-F89D-4B12-A727-6BC1B0371300
006W400000NUKP8IAP,Closed Won,2025-11-28,E7BBCC0E-A778-41C9-BD15-4504F529A0AB
006W400000NUKPCIA5,Closed Won,2026-01-08,76D54757-26B8-41B0-807A-3D1A8A24BEC4
006W400000NUKPAIA5,Closed Lost,2022-05-24,E03A42B9-9144-4986-AC1F-3C8776102F08
006W400000NUKPEIA5,Closed Lost,2022-10-27,9141C8AF-CE4F-4D2A-B94E-75A873C21163
006W400000NUKP7IAP,Closed Lost,2023-08-31,9EF69B07-0385-46C3-B9FC-C53C354E54E0
