org_id,account_name,account_id,has_modified_today,record_count,record_ids,periods,last_modified_by,last_modified_at
00D2E00000139NKUAY,Textile Museum of Canada,001f200001dlZQVAA2,YES,1,a3wVs000001soDlIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:34:45
00Df4000000oEx8EAE,Self Help Graphics & Art,001f200001Q6CJNAA3,YES,1,a3wVs000001s6O1IAI,2026-01,Jose Daniel Angarita,2026-05-25T13:33:34
00DDm000000I0PkMAK,Rema Hort Mann Foundation,0018W000025x1SWQAY,YES,1,a3wVs000001soC9IAI,2026-01,Jose Daniel Angarita,2026-05-25T13:32:35
00D3c000000XYCXEA4,MOFAD - Museum of Food and Drink,001f2000025FzsFAAS,YES,1,a3wVs000001so7JIAQ,2026-01,Jose Daniel Angarita,2026-05-25T13:29:10
00D8c000003DBdEEAW,Musée d'art de Rouyn-Noranda,0015w00002ZnzS4AAJ,YES,1,a3wVs000001so8vIAA,2026-01,Jose Daniel Angarita,2026-05-25T13:30:12
00DHr00000783obMAA,Lost in New Haven Museum,001Vs000007cqUbIAI,YES,1,a3wVs000001sAUrIAM,2026-01,Jose Daniel Angarita,2026-05-25T13:27:56
00DKb000000O5y6MAC,Casa del Herrero,001Vs000003MN4IIAW,YES,1,a3wVs000001so0rIAA,2026-01,Jose Daniel Angarita,2026-05-25T13:21:14
00D2E000001HiOWUA0,Creative Time,001f200001mx0qYAAQ,YES,1,a3wVs000001so2TIAQ,2026-01,Jose Daniel Angarita,2026-05-25T13:22:05
00D0Y000001iRMhUAM,Fundació Sorigué,0016000001NGBoRAAX,NO,0,,,,
00DfI00000PEQJMUA5,Maine MILL,001Vs00000RooLnIAJ,YES,1,a3wVs000001so5hIAA,2026-01,Jose Daniel Angarita,2026-05-25T13:28:31
00DDn000004NrbQMAS,Bytown Museum,0018W00001zko39QAA,YES,1,a3wVs000001sAY5IAM,2026-01,Jose Daniel Angarita,2026-05-25T13:20:56
00D8b000000kFL3EAM,Friends of the Cabildo,0018W00001hh4yGQAQ,YES,1,a3wVs000001so45IAA,2026-01,Jose Daniel Angarita,2026-05-25T13:24:38
00D5Y000002VnqVUAS,The Icon Museum and Study Center,0015w00002NgyYEAAZ,YES,1,a3wVs000001sAWTIA2,2026-01,Jose Daniel Angarita,2026-05-25T13:35:41
00DHs000003X7SwMAK,New Salem Museum and Academy of Fine Art,0018W00002XW8oBQAT,YES,1,a3wVs000001soAXIAY,2026-01,Jose Daniel Angarita,2026-05-25T13:30:55
00D2o000001VD8uEAG,Musée d'Art et de Culture Soufis MTO,001Vs0000055xbCIAQ,YES,1,a3wVs000001ssNpIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:30:17
00D4x0000022OI6EAM,The Charles H. Wright Museum of African American History,0015w00002Gf13CAAR,YES,1,a3wVs000001ssUHIAY,2026-01,Jose Daniel Angarita,2026-05-25T13:35:06
00D3h00000562YaEAI,SAAACAM - San Antonio African American Community Archive and Museum,0015w000026yQlnAAE,YES,1,a3wVs000001ssSfIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:32:54
00D4T000000F6SOUA0,ICA San Diego,0015w00002Ni8t5AAB,YES,1,a3wVs000001ssE9IAI,2026-01,Jose Daniel Angarita,2026-05-25T13:26:27
00D5e000000I8XBEA0,Fondation J Armand Bombardier,0015w00002NiCytAAF,YES,1,a3wVs000001ss7hIAA,2026-01,Jose Daniel Angarita,2026-05-25T13:23:47
00DHr000003Z4KmMAK,Arte Américas,001Vs000002hskVIAQ,YES,1,a3wVs000001ss1FIAQ,2026-01,Jose Daniel Angarita,2026-05-25T13:19:53
00DHr00000188RQMAY,Kansas Aviation Museum,0018W00002EGSIwQAP,YES,1,a3wVs000001ssFlIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:26:44
00D4w000001OgsyEAC,The DuSable Black History Museum and Education Center,0018W00002CVcj8QAD,YES,1,a3wVs000001ssVtIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:35:18
00Da500000WzwY2EAJ,Kidzone Museum (Sierra Nevada Children's Museum),001f200001muIL1AAM,YES,1,a3wVs000001ssHNIAY,2026-01,Jose Daniel Angarita,2026-05-25T13:27:00
00D5f000003H0IVEA0,Children's Discovery Museum of the Golden Crescent,0015w00002QWrcHAAT,YES,1,a3wVs000001ss4TIAQ,2026-01,Jose Daniel Angarita,2026-05-25T13:21:28
00D3g0000003LTnEAM,Muzeo,0015w00002ERG2CAAX,YES,1,a3wVs000001ssPRIAY,2026-01,Jose Daniel Angarita,2026-05-25T13:30:27
00Da500001GWVWmEAP,Westerly Museum of American Impressionism,001Vs00000FuEneIAF,YES,1,a3wVs000001ssXVIAY,2026-01,Jose Daniel Angarita,2026-05-25T13:37:21
00D410000005MIsEAM,GLBT Historical Society,001f200001Xolx6AAB,YES,1,a3wVs000001ssAvIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:24:50
00DDp000001ykcmMAA,Military Aviation Museum,0018W00002F1CqoQAF,YES,1,a3wVs000001ssMDIAY,2026-01,Jose Daniel Angarita,2026-05-25T13:28:57
00DHn000003wuOZMAY,Myrtle Beach’s Museum,001Vs00000DxG4UIAV,YES,1,a3wVs000001ssR3IAI,2026-01,Jose Daniel Angarita,2026-05-25T13:30:31
00Dfo000007fKtBEAU,Halcyon Foundation,001Vs00000bEEHJIA4,YES,1,a3wVs000001ssCXIAY,2026-01,Jose Daniel Angarita,2026-05-25T13:25:18
00D5w000004RYdgEAG,Blackhawk Museum,001f200001YmM4FAAV,YES,1,a3wVs000001ss2rIAA,2026-01,Jose Daniel Angarita,2026-05-25T13:20:32
00D3h000001yoj9EAA,Foothills Art Center,0015w00002Bl90oAAB,NO,0,,,,
00Dal00001D7auWEAR,Mattress Factory Contemporary Art Museum,001Vs00000B5l00IAB,YES,1,a3wVs000001ssKbIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:29:00
00D6g0000082KOPEA2,Maine Mineral & Gem Museum,001f20000250D6FAAU,YES,1,a3wVs000001ssIzIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:28:36
00D5e000000JgMzEAK,CMOO - Children's Museum of Oswego,001f200001ud2NuAAI,YES,1,a3wVs000001ss65IAA,2026-01,Jose Daniel Angarita,2026-05-25T13:21:44
00DfK00000O9zUfUAJ,Pittsburgh Glass Center,001Vs00000EHrG5IAL,YES,1,a3wVs000001stgTIAQ,2026-01,Jose Daniel Angarita,2026-05-25T13:32:05
00D3t000000ydtZEAQ,American Visionary Art Museum (AVAM),0015w00002EOweeAAD,YES,1,a3wVs000001stN7IAI,2026-01,Jose Daniel Angarita,2026-05-25T13:19:41
00D46000000XyaHEAS,Orillia Museum of Art & History,001f200001Nmit5AAB,YES,1,a3wVs000001sterIAA,2026-01,Jose Daniel Angarita,2026-05-25T13:31:52
00Di0000000K440EAC,Angels Gate Cultural Center,001Vs00000SDXBBIA5,YES,1,a3wVs000001stOjIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:19:31
00D5e0000013EzcEAE,Lowe Art Museum - University of Miami,0015w000025HPqXAAW,YES,1,a3wVs000001stWnIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:28:09
00D5e0000019uSdEAI,Morven Museum & Garden,0015w00002Ni4HmAAJ,YES,1,a3wVs000001sta1IAA,2026-01,Jose Daniel Angarita,2026-05-25T13:29:37
00D5e000002U6W3EAK,YBCA (Yerba Buena Center for the Arts),0015w00002Ti2vcAAB,YES,1,a3wVs000001stq9IAA,2026-01,Jose Daniel Angarita,2026-05-25T13:38:05
00D5f000006Oka6EAC,The Sailing Museum & National Sailing Hall of Fame,0015w00002TgBlgAAF,YES,1,a3wVs000001stoXIAQ,2026-01,Jose Daniel Angarita,2026-05-25T13:36:04
00D4P000000k1zdUAA,MacRostie Art Center,001f200001xc1LVAAY,YES,1,a3wVs000001stYPIAY,2026-01,Jose Daniel Angarita,2026-05-25T13:28:21
00D5f000001ywh3EAA,Shaw Centre for the Salish Sea,0015w00002QXaeRAAT,YES,1,a3wVs000001stjhIAA,2026-01,Jose Daniel Angarita,2026-05-25T13:33:55
00D4100000072AOEAY,Santa Barbara County Office of Arts and Culture,0016000001HdRxtAAF,NO,0,,,,
00D8c00000262C1EAI,Museum Center at Five Points,0015w00002ZoC7aAAF,YES,1,a3wVs000001stdFIAQ,2026-01,Jose Daniel Angarita,2026-05-25T13:29:47
00Dam00001W0trvEAB,Huntington African American Museum,001Vs00000czWwXIAU,YES,1,a3wVs000001stRxIAI,2026-01,Jose Daniel Angarita,2026-05-25T13:26:17
00DHs000003WvSzMAK,Southern Alberta Art Gallery,0015w00002eifQ4AAI,YES,1,a3wVs000001stlJIAQ,2026-01,Jose Daniel Angarita,2026-05-25T13:34:17
