org_id,account_name,account_id,has_2026_02_modified_today,record_id,metric_period_key,date,last_modified_by,last_modified_at
00D2E00000139NKUAY,Textile Museum of Canada,001f200001dlZQVAA2,YES,a3wVs000001soVVIAY,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:41:41
00Df4000000oEx8EAE,Self Help Graphics & Art,001f200001Q6CJNAA3,YES,a3wVs000001s6UTIAY,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:40:44
00DDm000000I0PkMAK,Rema Hort Mann Foundation,0018W000025x1SWQAY,YES,a3wVs000001s8T3IAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:39:51
00D3c000000XYCXEA4,MOFAD - Museum of Food and Drink,001f2000025FzsFAAS,YES,a3wVs000001soQfIAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:56
00D8c000003DBdEEAW,Musée d'art de Rouyn-Noranda,0015w00002ZnzS4AAJ,YES,a3wVs000001soSHIAY,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:46
00DHr00000783obMAA,Lost in New Haven Museum,001Vs000007cqUbIAI,YES,a3wVs000001soNRIAY,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:35:46
00DKb000000O5y6MAC,Casa del Herrero,001Vs000003MN4IIAW,YES,a3wVs000001sBAoIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:29:41
00D2E000001HiOWUA0,Creative Time,001f200001mx0qYAAQ,YES,a3wVs000001soKDIAY,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:30:24
00D0Y000001iRMhUAM,Fundació Sorigué,0016000001NGBoRAAX,NO,,,,,
00DfI00000PEQJMUA5,Maine MILL,001Vs00000RooLnIAJ,YES,a3wVs000001soP3IAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:19
00DDn000004NrbQMAS,Bytown Museum,0018W00001zko39QAA,YES,a3wVs000001soIbIAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:29:30
00D8b000000kFL3EAM,Friends of the Cabildo,0018W00001hh4yGQAQ,YES,a3wVs000001soLpIAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:32:52
00D5Y000002VnqVUAS,The Icon Museum and Study Center,0015w00002NgyYEAAZ,YES,a3wVs000001soX7IAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:42:32
00DHs000003X7SwMAK,New Salem Museum and Academy of Fine Art,0018W00002XW8oBQAT,YES,a3wVs000001soTtIAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:38:22
00D2o000001VD8uEAG,Musée d'Art et de Culture Soufis MTO,001Vs0000055xbCIAQ,YES,a3wVs000001suxVIAQ,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:52
00D4x0000022OI6EAM,The Charles H. Wright Museum of African American History,0015w00002Gf13CAAR,YES,a3wVs000001sv8nIAA,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:42:02
00D3h00000562YaEAI,SAAACAM - San Antonio African American Community Archive and Museum,0015w000026yQlnAAE,YES,a3wVs000001sv2LIAQ,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:40:13
00D4T000000F6SOUA0,ICA San Diego,0015w00002Ni8t5AAB,YES,a3wVs000001sv5ZIAQ,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:34:31
00D5e000000I8XBEA0,Fondation J Armand Bombardier,0015w00002NiCytAAF,YES,a3wVs000001svAPIAY,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:32:00
00DHr000003Z4KmMAK,Arte Américas,001Vs000002hskVIAQ,YES,a3wVs000001svTlIAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:35
00DHr00000188RQMAY,Kansas Aviation Museum,0018W00002EGSIwQAP,YES,a3wVs000001svS9IAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:34:48
00D4w000001OgsyEAC,The DuSable Black History Museum and Education Center,0018W00002CVcj8QAD,YES,a3wVs000001sv7BIAQ,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:42:12
00Da500000WzwY2EAJ,Kidzone Museum (Sierra Nevada Children's Museum),001f200001muIL1AAM,YES,a3wVs000001svITIAY,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:35:01
00D5f000003H0IVEA0,Children's Discovery Museum of the Golden Crescent,0015w00002QWrcHAAT,YES,a3wVs000001svDdIAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:29:53
00D3g0000003LTnEAM,Muzeo,0015w00002ERG2CAAX,YES,a3wVs000001suz7IAA,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:38:01
00Da500001GWVWmEAP,Westerly Museum of American Impressionism,001Vs00000FuEneIAF,YES,a3wVs000001svK5IAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:44:05
00D410000005MIsEAM,GLBT Historical Society,001f200001Xolx6AAB,YES,a3wVs000001sv3xIAA,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:33:05
00DDp000001ykcmMAA,Military Aviation Museum,0018W00002F1CqoQAF,YES,a3wVs000001svNJIAY,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:43
00DHn000003wuOZMAY,Myrtle Beach’s Museum,001Vs00000DxG4UIAV,YES,a3wVs000001svQXIAY,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:38:02
00Dfo000007fKtBEAU,Halcyon Foundation,001Vs00000bEEHJIA4,YES,a3wVs000001svOvIAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:33:36
00D5w000004RYdgEAG,Blackhawk Museum,001f200001YmM4FAAV,YES,a3wVs000001svFFIAY,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:29:10
00D3h000001yoj9EAA,Foothills Art Center,0015w00002Bl90oAAB,NO,,,,,
00Dal00001D7auWEAR,Mattress Factory Contemporary Art Museum,001Vs00000B5l00IAB,YES,a3wVs000001svLhIAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:46
00D6g0000082KOPEA2,Maine Mineral & Gem Museum,001f20000250D6FAAU,YES,a3wVs000001svGrIAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:27
00D5e000000JgMzEAK,CMOO - Children's Museum of Oswego,001f200001ud2NuAAI,YES,a3wVs000001svC1IAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:30:09
00DfK00000O9zUfUAJ,Pittsburgh Glass Center,001Vs00000EHrG5IAL,YES,a3wVs000001tC81IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:39:31
00D3t000000ydtZEAQ,American Visionary Art Museum (AVAM),0015w00002EOweeAAD,YES,a3wVs000001tBofIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:24
00D46000000XyaHEAS,Orillia Museum of Art & History,001f200001Nmit5AAB,YES,a3wVs000001tBqHIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:39:13
00Di0000000K440EAC,Angels Gate Cultural Center,001Vs00000SDXBBIA5,YES,a3wVs000001tCETIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:15
00D5e0000013EzcEAE,Lowe Art Museum - University of Miami,0015w000025HPqXAAW,YES,a3wVs000001t8naIAA,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:07
00D5e0000019uSdEAI,Morven Museum & Garden,0015w00002Ni4HmAAJ,YES,a3wVs000001t8Z4IAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:16
00D5e000002U6W3EAK,YBCA (Yerba Buena Center for the Arts),0015w00002Ti2vcAAB,YES,a3wVs000001tBtVIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:44:41
00D5f000006Oka6EAC,The Sailing Museum & National Sailing Hall of Fame,0015w00002TgBlgAAF,YES,a3wVs000001tBwjIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:42:54
00D4P000000k1zdUAA,MacRostie Art Center,001f200001xc1LVAAY,YES,a3wVs000001tBrtIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:16
