 ›   Warning: @salesforce/cli update available from 2.133.4 to 2.140.6.
Querying Data... done
Id,DeveloperName,Name,IsActive,NamespacePrefix,SobjectType
012an000004vZ6sAAE,Course_Form,Course Form,true,vnfp,Auctifera__Document_Center__c
012an000004vWBWAA2,Fundraising_Event_Form,Fundraising Event Form,true,Auctifera,Auctifera__Document_Center__c
012an000004vWBXAA2,Group_Invitation_Form,Group Invitation Form,false,Auctifera,Auctifera__Document_Center__c
012an000004vWBYAA2,Membership_Form,Membership Form,true,Auctifera,Auctifera__Document_Center__c
012an000004vWBZAA2,Online_App_Information_Form,Online App Information Form,true,Auctifera,Auctifera__Document_Center__c
012an000004vWBaAAM,Rental_Form,Rental & Group Form,true,Auctifera,Auctifera__Document_Center__c
012an000004vWBbAAM,Specific_Fund_Form,Specific Fund Form,true,Auctifera,Auctifera__Document_Center__c
012an000004vWBcAAM,Subscribe_Form,Subscribe Form,true,Auctifera,Auctifera__Document_Center__c
012an000004vZ6tAAE,Summercamp_Children_Form,Summer Camp/Children Form,true,vnfp,Auctifera__Document_Center__c
012an000004vWBdAAM,Ticketing_Form,Ticketing Form,true,Auctifera,Auctifera__Document_Center__c
012an000004vWBeAAM,Update_Information_Form,Update Information Form,true,Auctifera,Auctifera__Document_Center__c
