CronJobDetail.Name,State,NextFireTime,TimesTriggered
Veevart - Automatic Batch Schedule,WAITING,2026-07-06T23:00:00.000+0000,0
Veevart - PeopleManagerBatch ACCOUNT_SET_LAST_VISIT_DATE,WAITING,2026-07-07T05:10:37.000+0000,0
Veevart - PeopleManagerBatch CONTACT_SET_LAST_VISIT_DATE,WAITING,2026-07-07T05:10:26.000+0000,0
Veevart - PeopleManagerBatch DELETE_RELATIVE_CONNECTIONS,WAITING,2026-07-07T05:30:37.000+0000,0
Veevart - PeopleManagerBatch SET_CONTACT_FAVORITE_ARTISTS,WAITING,2026-07-06T20:29:28.000+0000,0
Veevart - PeopleManagerBatch UPDATE_ACCOUNTS_PURCHASE_AMOUNT,WAITING,2026-07-07T05:20:38.000+0000,0
Veevart - PeopleManagerBatch UPDATE_CONTACTS_PURCHASE_AMOUNT,WAITING,2026-07-07T05:20:28.000+0000,0
Veevart - Shopify refund status update,WAITING,2026-07-07T15:33:38.000+0000,0
Veevart NFP - Automatic Batch Schedule,WAITING,2026-07-06T23:00:00.000+0000,5
Veevart NFP - Processing Recurring Donation Email Batch,WAITING,2026-07-07T15:00:22.000+0000,0
Veevart NFP - Recurring donation,WAITING,2026-07-07T04:50:09.000+0000,0
Veevart NFP - TICKETING FundAssignmentBatchV2,WAITING,2026-07-07T05:10:34.000+0000,0
Veevart VNFP - Unprocessed Recurring Donation Batch,WAITING,2026-07-07T08:00:44.000+0000,0
